"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 18 16:37:15 CST 2024","Mon Nov 18 16:37:32 CST 2024","17910","TestCase","HaodaoCase","Test_haidao_reg_case","","","验证正确的商品增加001","用例描述,填写用例的详细数据,确保这些数据之前不存在系统"
"passed","Mon Nov 18 16:37:37 CST 2024","Mon Nov 18 16:38:02 CST 2024","24158","TestCase","HaodaoCase","Test_haidao_reg_case","","","验证正确的商品购买001","用例描述,填写用例的详细数据,确保这些数据之前不存在系统"
